STORE NAME - NOVA;NOMENCLATURA ANTIGA;Viagem;CONSULTOR;CNPJ (CÓDIGO PDV);BANDEIRA;STATE;CITY;BAIRRO;ADDRESS;CEP
00366 - AMBIENTE - AVENIDA TIRADENTES - 386 - LONDRINA - PR;AMBIENTE - LONDRINA/PR;;BIBIANO RODRIGUES NETO;9,68552E+12;AMBIENTE;PR;LONDRINA;JD SHANGRI;AVENIDA TIRADENTES, 386;86070545
00233 - AMBIENTE - RUA BARTOLOMEU LOURENCO DE GUSMAO - 4916 - CURITIBA - PR;AMBIENTE - CURITIBA /PR;;BIBIANO RODRIGUES NETO;5,10216E+12;AMBIENTE;PR;CURITIBA;BOQUEIRAO;RUA BARTOLOMEU LOURENCO DE GUSMAO, 4916;81730040
00152 - AMBIENTE - AVENIDA DR GASTAO VIDIGAL - 165 - MARINGA - PR;AMBIENTE - MARINGA/PR;;BIBIANO RODRIGUES NETO;5,10216E+12;AMBIENTE;PR;MARINGA;;AVENIDA DR GASTAO VIDIGAL, 165;87050440
00667 - AMBIENTE - R. MANOEL BANDEIRA - 147 - FOZ DO IGUACU - PR;AMBIENTE - FOZ IGUACU/PR;;BIBIANO RODRIGUES NETO;5,10216E+12;AMBIENTE;PR;FOZ DO IGUACU;VILA BRASILIA;R. MANOEL BANDEIRA, 147;85864210
00700 - BHP - AV. SENADOR PINHEIRO MACHADO - 22 - SANTOS - SP;BHP - SANTOS/SP;Viagem;LIEDY AQUINO GOMES DOS SANTOS;5,3484E+13;BHP;SP;SANTOS;SANTOS;AV. SENADOR PINHEIRO MACHADO, 22;11075000
00610 - BHP - AVENIDA BARAO DE TATUI 1578 - SN - SOROCABA - SP;BHP - SOROCABA/SP;Viagem;LIEDY AQUINO GOMES DOS SANTOS;5,3484E+13;BHP;SP;SOROCABA;JARDIM VERGUEIRO;AVENIDA BARAO DE TATUI, 1578;18030000
00187 - CENTRAL AR - FRANQUIA ITURAMA/MG;CENTRAL AR - FRANQUIA ITURAMA/MG;;DIOGO DO NASCIMENTO SANTOS;6,24894E+13;CENTRAL AR;MG;ITURAMA;;R. CIDADE DO PRATA, 1015;38280000
00135 - CENTRAL AR - FRANQUIA LAGOS/RJ;CENTRAL AR - FRANQUIA LAGOS/RJ;;DIOGO DO NASCIMENTO SANTOS;4,51515E+13;CENTRAL AR;RJ;CABO FRIO;UNAMAR (TAMOIOS);AV. CANDIDO TITO DE AZEREDO, 31;28928536
00160 - CENTRAL AR - SANTOS/SP;CENTRAL AR - SANTOS/SP;;PAULO SERGIO MARQUES DA SILVA;3,07796E+13;CENTRAL AR;SP;SANTOS;VILA MATHIAS;AVENIDA WASHINGTON LUIS, 74;11050200
00108 - CLAUDINO - RUA PADRE MANOEL MARIANO - 21 - CAJAZEIRAS - PB;00108 - CLAUDINO - RUA PADRE MANOEL MARIANO - 21 - CAJAZEIRAS - PB;;LUIZ FALCAO DE SOUZA NETO;8,99563E+12;CLAUDINO;PB;CAJAZEIRAS;;RUA PADRE MANOEL MARIANO, 21;58900000
00170 - DIS - ALAMEDA GABRIEL MONTEIRO DA SILVA - 1717 - SAO PAULO - SP;DIS - SAO PAULO/SP;;LIEDY AQUINO GOMES DOS SANTOS;2,3209E+13;A DEFINIR;SP;SAO PAULO;JARDIM AMERICA;ALAMEDA GABRIEL MONTEIRO DA SILVA, 1717;1441002
01223 - DIS - AVENIDA CRISTIANO MACHADO - 2940 - BELO HORIZONTE - MG;DIS - BELO HORIZONTE/MG;;DIOGO DO NASCIMENTO SANTOS;2,3209E+13;A DEFINIR;MG;BELO HORIZONTE;;AVENIDA CRISTIANO MACHADO, 2940;31160372
02427 - FERREIRA COSTA - R. EDGAR SALES MIRANDA HENRIQUES - 345 - JOAO PESSOA - PB;FERREIRA COSTA - JOAO PESSOA/PB;;LUIZ FALCAO DE SOUZA NETO;1,02305E+13;FERREIRA COSTA;PB;JOAO PESSOA;;RUA EDSON FALCONI DE MELO;58036500
01960 - FERREIRA COSTA - AVENIDA MAL. MASCARENHAS DE MORAIS - 2967 - RECIFE - PE;FERREIRA COSTA - MASCARENHAS RECIFE/PE;;LUIZ FALCAO DE SOUZA NETO;1,02305E+13;FERREIRA COSTA;PE;RECIFE;;AV. MAL. MASCARENHAS DE MORAIS, 2967;51150905
00483 - FERREIRA COSTA - R. CONEGO BARATA - 275 - RECIFE - PE;FERREIRA COSTA - CONEGO RECIFE/PE;;LUIZ FALCAO DE SOUZA NETO;1,02305E+13;FERREIRA COSTA;PE;RECIFE;TAMARINEIRA;RUA CONEGO BARATA;52051020
03156 - FERREIRA COSTA - SALVADOR/BA;FERREIRA COSTA - SALVADOR/BA;;TATIANE SOUZA DOS SANTOS;1,02305E+13;FERREIRA COSTA;BA;SALVADOR;BARRIS;RUA VALE DOS BARRIS;40070055
00300 - FERREIRA COSTA - AVENIDA LUIS VIANA FILHO - 6180 - SALVADOR - BA;FERREIRA COSTA - VIANA SALVADOR/BA;;TATIANE SOUZA DOS SANTOS;1,02305E+13;FERREIRA COSTA;BA;SALVADOR;;AV. LUIZ VIANA FILHO;41730101
02081 - FRIGELAR - AVENIDA NOSSA SENHORA DA PAZ 355 - 355 - SAO JOSE DO RIO PRETO - SP;FRIGELAR - SAO JOSE DO RIO PRETO/SP;;ALEXANDRE RIBEIRO LIMA;9,26604E+13;FRIGELAR;SP;SAO JOSE DO RIO PRETO;JARDIM ALTO ALEGRE;AVENIDA NOSSA SENHORA DA PAZ, 355;15055500
00704 - FRIGELAR - RUA VISCONDE DO RIO BRANCO - 1151 - RIBEIRAO PRETO - SP;FRIGELAR - RIBEIRAO PRETO/SP;Viagem;ALEXANDRE RIBEIRO LIMA;9,26604E+13;FRIGELAR;SP;RIBEIRAO PRETO;CENTRO;RUA VISCONDE DO RIO BRANCO, 1151;14015000
06150 - FRIGELAR - AVENIDA AYRTON SENNA - 4701 - RIO DE JANEIRO - RJ;FRIGELAR - BARRA DA TIJUCA/RJ;;DIOGO DO NASCIMENTO SANTOS;9,26604E+13;FRIGELAR;RJ;RIO DE JANEIRO;BARRA DA TIJUCA;AVENIDA AYRTON SENNA, 4701;22793081
05188 - FRIGELAR - RUA GUATEMALA - 371 - RIO DE JANEIRO - RJ;FRIGELAR - RIO DE JANEIRO/RJ;;DIOGO DO NASCIMENTO SANTOS;9,26604E+13;FRIGELAR;RJ;RIO DE JANEIRO;PENHA;RUA GUATEMALA, 371;21020170
00895 - FRIGELAR - RUA GENERAL ARGOLO - 15 - SAO CRISTOVAO - RJ;FRIGELAR - SAO CRISTOVAO/RJ;;DIOGO DO NASCIMENTO SANTOS;9,26604E+13;FRIGELAR;RJ;SAO CRISTOVAO;SAO CRISTOVAO;RUA GENERAL ARGOLO, 15;20921393
06230 - FRIGELAR - AVENIDA REDIG DE CAMPOS - 105 - SAO PAULO - SP;FRIGELAR - ESCRITORIO SAO PAULO/SP;;LIEDY AQUINO GOMES DOS SANTOS;9,26604E+13;FRIGELAR;SP;SAO PAULO;;AVENIDA REDIG DE CAMPOS, 105;4711904
05692 - FRIGELAR - AVENIDA WASHINGTON LUIS - 1 - SANTOS - SP;FRIGELAR - SANTOS/SP;Viagem;LIEDY AQUINO GOMES DOS SANTOS;9,26604E+13;FRIGELAR;SP;SANTOS;VILA MATHIAS;AVENIDA WASHINGTON LUIS, 01;11050201
06583 - FRIGELAR - AVENIDA FERNANDES LIMA - 3472 - MACEIO - AL;FRIGELAR - MACEIO/AL;;LUIZ FALCAO DE SOUZA NETO;9,26604E+13;FRIGELAR;AL;MACEIO;;AVENIDA FERNANDES LIMA, 3472;57052403
04106 - FRIGELAR - AVENIDA ENG DOMINGOS FERREIRA - 2030 - RECIFE - PE;FRIGELAR - RECIFE/PE;;LUIZ FALCAO DE SOUZA NETO;9,26604E+13;FRIGELAR;PE;RECIFE;BOA VIAGEM;AVENIDA ENG DOMINGOS FERREIRA, 2030;51020030
02677 - FRIGELAR - AVENIDA PRESIDENTE EPITACIO PESSOA - 821 - JOAO PESSOA - PB;FRIGELAR - JOAO PESSOA/PB;;LUIZ FALCAO DE SOUZA NETO;9,26604E+13;FRIGELAR;PB;JOAO PESSOA;ESTADOS;AVENIDA PRESIDENTE EPITACIO PESSOA, 821;58030001
02405 - FRIGELAR - RODOVIA BR 116 - 7000 - FORTALEZA - CE;FRIGELAR - FORTALEZA/CE;;LUIZ FALCAO DE SOUZA NETO;9,26604E+13;FRIGELAR;CE;FORTALEZA;;RODOVIA BR, 116;60864012
00976 - FRIGELAR - RUA HORTENCIO RIBEIRO DE LUNA - 1841 - JOAO PESSOA - PB;FRIGELAR - DISTRITO INDUSTRIAL/PB;;LUIZ FALCAO DE SOUZA NETO;9,26604E+13;FRIGELAR;PB;JOAO PESSOA;DISTRITO INDUSTRIAL;RUA HORTENCIO RIBEIRO DE LUNA, 1841;58081400
00623 - FRIGELAR - RUA SGTO SILVIO D HOLLEMBACH - 171 - IMBIRIBEIRA - PE;FRIGELAR - IMBIRIBEIRA/PE;;LUIZ FALCAO DE SOUZA NETO;9,26604E+13;FRIGELAR;PE;IMBIRIBEIRA;IMBIRIBEIRA;RUA SGTO SILVIO D HOLLEMBACH, 171;51150290
07717 - FRIGELAR - RUA VINTE E CINCO DE JULHO - 536 - NOVO HAMBURGO - RS;FRIGELAR - NOVO HAMBURGO/RS;;MARCIO JOSE FLORES PEREIRA;9,26604E+13;FRIGELAR;RS;NOVO HAMBURGO;RIO BRANCO;RUA VINTE E CINCO DE JULHO, 536;93310250
