REDE;CLIENTE;LOJA;CONSULTOR;CNPJ;NOME PDV
COLOMBO;COLOMBO;29582 - COLOMBO - AVENIDA VISCONDE GUARAPUAVA - 140 - PITANGA - PR;BIBIANO RODRIGUES NETO;8,98E+13;29582 - COLOMBO - AVENIDA VISCONDE GUARAPUAVA - 140 - PITANGA - PR
COLOMBO;COLOMBO;29159 - COLOMBO - RUA GETULIO VARGAS - 1111 - PARANAVAI - PR;BIBIANO RODRIGUES NETO;8,98E+13;29159 - COLOMBO - RUA GETULIO VARGAS - 1111 - PARANAVAI - PR
COLOMBO;COLOMBO;28853 - COLOMBO - AVENIDA SOUZA NAVES - 975 - IVAIPORA - PR;BIBIANO RODRIGUES NETO;8,98E+13;28853 - COLOMBO - AVENIDA SOUZA NAVES - 975 - IVAIPORA - PR
COLOMBO;COLOMBO;28772 - COLOMBO - RUA XV DE NOVEMBRO - 2450 - LARANJEIRAS DO SUL - PR;BIBIANO RODRIGUES NETO;8,98E+13;28772 - COLOMBO - RUA XV DE NOVEMBRO - 2450 - LARANJEIRAS DO SUL - PR
COLOMBO;COLOMBO;28349 - COLOMBO - AVENIDA PARANA - 680 - MATELANDIA - PR;BIBIANO RODRIGUES NETO;8,98E+13;28349 - COLOMBO - AVENIDA PARANA - 680 - MATELANDIA - PR
COLOMBO;COLOMBO;28187 - COLOMBO - AVENIDA REPUBLICA ARGENTINA - 4231 - CURITIBA - PR;BIBIANO RODRIGUES NETO;8,98E+13;28187 - COLOMBO - AVENIDA REPUBLICA ARGENTINA - 4231 - CURITIBA - PR
COLOMBO;COLOMBO;28004 - COLOMBO - AVENIDA ARAPONGAS - 370 - ARAPONGAS - PR;BIBIANO RODRIGUES NETO;8,98E+13;28004 - COLOMBO - AVENIDA ARAPONGAS - 370 - ARAPONGAS - PR
COLOMBO;COLOMBO;26990 - COLOMBO - AVENIDA BRASIL - 3252 - MARINGA - PR;BIBIANO RODRIGUES NETO;8,98E+13;26990 - COLOMBO - AVENIDA BRASIL - 3252 - MARINGA - PR
COLOMBO;COLOMBO;26729 - COLOMBO - AVENIDA CAPITAO INDIO BANDEIRA - 1467 - CAMPO MOURAO - PR;BIBIANO RODRIGUES NETO;8,98E+13;26729 - COLOMBO - AVENIDA CAPITAO INDIO BANDEIRA - 1467 - CAMPO MOURAO - PR
COLOMBO;COLOMBO;26486 - COLOMBO - AVENIDA HORACIO KLABIN - 70 - TELEMACO BORBA - PR;BIBIANO RODRIGUES NETO;8,98E+13;26486 - COLOMBO - AVENIDA HORACIO KLABIN - 70 - TELEMACO BORBA - PR
COLOMBO;COLOMBO;26303 - COLOMBO - PRACA RUI BARBOSA - 360 - APUCARANA - PR;BIBIANO RODRIGUES NETO;8,98E+13;26303 - COLOMBO - PRACA RUI BARBOSA - 360 - APUCARANA - PR
